Fecha,Estado,Ciudad,Tipo,Canal,Precio
2025-08-13,Nuevo León,ZM Monterrey,Ultrapasteurizada,Tiendas,37.38
2025-08-13,Oaxaca,Oaxaca,Ultrapasteurizada,Tiendas,30.15
2025-08-13,Puebla,Puebla,Ultrapasteurizada,Tiendas,34.0
2025-08-13,Puebla,ZM Puebla,Ultrapasteurizada,Tiendas,29.5
2025-08-13,Querétaro,Querétaro,Ultrapasteurizada,Tiendas,29.88
2025-08-13,Quintana Roo,Cancún,Ultrapasteurizada,Tiendas,33.13
2025-08-13,Quintana Roo,Chetumal,Ultrapasteurizada,Tiendas,28.0
2025-08-13,San Luis Potosí,San Luis Potosí,Ultrapasteurizada,Tiendas,27.25
2025-08-13,Sinaloa,Culiacán,Ultrapasteurizada,Tiendas,36.67
2025-08-13,Sonora,Cd. Obregón,Ultrapasteurizada,Tiendas,32.7
2025-08-13,Sonora,Hermosillo,Ultrapasteurizada,Tiendas,24.54
2025-08-13,Sonora,Nogales,Ultrapasteurizada,Tiendas,29.95
2025-08-13,Sonora,San Luis Río Colorado,Ultrapasteurizada,Tiendas,0.0
2025-08-13,Tabasco,Villahermosa,Ultrapasteurizada,Tiendas,26.55
2025-08-13,Tamaulipas,Cd. Victoria,Ultrapasteurizada,Tiendas,32.67
2025-08-13,Tamaulipas,Matamoros,Ultrapasteurizada,Tiendas,38.0
2025-08-13,Tamaulipas,Nuevo Laredo,Ultrapasteurizada,Tiendas,32.5
2025-08-13,Tamaulipas,Reynosa,Ultrapasteurizada,Tiendas,
2025-08-13,Tamaulipas,Tampico,Ultrapasteurizada,Tiendas,23.1
2025-08-13,Tlaxcala,Tlaxcala,Ultrapasteurizada,Tiendas,36.0
2025-08-13,Veracruz,Coatzacoalcos,Ultrapasteurizada,Tiendas,28.8
2025-08-13,Veracruz,Xalapa,Ultrapasteurizada,Tiendas,35.17
2025-08-13,Veracruz,Veracruz ,Ultrapasteurizada,Tiendas,33.38
2025-08-13,Yucatán,Mérida,Ultrapasteurizada,Tiendas,29.6
2025-08-13,Zacatecas,Zacatecas,Ultrapasteurizada,Tiendas,33.5
2025-08-13,Aguascalientes ,Aguascalientes,Ultrapasteurizada,Autoservicios,34.17
2025-08-13,Baja California,Mexicali,Ultrapasteurizada,Autoservicios,27.47
2025-08-13,Baja California,Tijuana,Ultrapasteurizada,Autoservicios,32.2
2025-08-13,Baja California Sur,La Paz,Ultrapasteurizada,Autoservicios,29.97
2025-08-13,Campeche,Campeche,Ultrapasteurizada,Autoservicios,34.97
2025-08-13,Coahuila,Piedras Negras,Ultrapasteurizada,Autoservicios,26.35
2025-08-13,Coahuila,Saltillo,Ultrapasteurizada,Autoservicios,36.73
2025-08-13,Coahuila,Torreón,Ultrapasteurizada,Autoservicios,34.83
2025-08-13,Colima,Colima,Ultrapasteurizada,Autoservicios,35.75
2025-08-13,Chiapas,Tapachula,Ultrapasteurizada,Autoservicios,35.48
2025-08-13,Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Autoservicios,27.5
2025-08-13,Chihuahua,Chihuahua,Ultrapasteurizada,Autoservicios,37.27
2025-08-13,Chihuahua,Cd.Juárez,Ultrapasteurizada,Autoservicios,33.57
2025-08-13,CDMX,Ciudad de México,Ultrapasteurizada,Autoservicios,34.75
2025-08-13,CDMX,ZM Ciudad de México,Ultrapasteurizada,Autoservicios,24.0
2025-08-13,Durango,Durango,Ultrapasteurizada,Autoservicios,35.77
2025-08-13,Durango,Gómez Palacio,Ultrapasteurizada,Autoservicios,37.27
2025-08-13,Guanajuato,León,Ultrapasteurizada,Autoservicios,23.75
2025-08-13,Guanajuato,Celaya,Ultrapasteurizada,Autoservicios,29.83
2025-08-13,Guerrero,Acapulco,Ultrapasteurizada,Autoservicios,34.98
2025-08-13,Guerrero,Chilpancingo,Ultrapasteurizada,Autoservicios,33.13
2025-08-13,Hidalgo,Pachuca,Ultrapasteurizada,Autoservicios,35.12
2025-08-13,Jalisco,Guadalajara,Ultrapasteurizada,Autoservicios,30.0
2025-08-13,Jalisco,ZM Guadalajara,Ultrapasteurizada,Autoservicios,37.9
2025-08-13,Edo. México,Toluca,Ultrapasteurizada,Autoservicios,33.83
2025-08-13,Michoacán,Morelia,Ultrapasteurizada,Autoservicios,33.97
2025-08-13,Morelos,Cuernavaca,Ultrapasteurizada,Autoservicios,33.42
2025-08-13,Nayarit,Tepic,Ultrapasteurizada,Autoservicios,29.35
2025-08-13,Nuevo León,Monterrey,Ultrapasteurizada,Autoservicios,34.77
2025-08-13,Nuevo León,ZM Monterrey,Ultrapasteurizada,Autoservicios,36.13
2025-08-13,Oaxaca,Oaxaca,Ultrapasteurizada,Autoservicios,35.15
2025-08-13,Puebla,Puebla,Ultrapasteurizada,Autoservicios,33.42
2025-08-13,Puebla,ZM Puebla,Ultrapasteurizada,Autoservicios,34.25
2025-08-13,Querétaro,Querétaro,Ultrapasteurizada,Autoservicios,30.31
2025-08-13,Quintana Roo,Cancún,Ultrapasteurizada,Autoservicios,32.15
2025-08-13,Quintana Roo,Chetumal,Ultrapasteurizada,Autoservicios,34.33
2025-08-13,San Luis Potosí,San Luis Potosí,Ultrapasteurizada,Autoservicios,32.67
2025-08-13,Sinaloa,Culiacán,Ultrapasteurizada,Autoservicios,32.32
2025-08-13,Sonora,Cd. Obregón,Ultrapasteurizada,Autoservicios,30.58
2025-08-13,Sonora,Hermosillo,Ultrapasteurizada,Autoservicios,24.57
2025-08-13,Sonora,Nogales,Ultrapasteurizada,Autoservicios,30.65
2025-08-13,Sonora,San Luis Río Colorado,Ultrapasteurizada,Autoservicios,0.0
2025-08-13,Tabasco,Villahermosa,Ultrapasteurizada,Autoservicios,29.13
2025-08-13,Tamaulipas,Cd. Victoria,Ultrapasteurizada,Autoservicios,33.75
2025-08-13,Tamaulipas,Matamoros,Ultrapasteurizada,Autoservicios,35.42
2025-08-13,Tamaulipas,Nuevo Laredo,Ultrapasteurizada,Autoservicios,33.13
2025-08-13,Tamaulipas,Reynosa,Ultrapasteurizada,Autoservicios,27.82
2025-08-13,Tamaulipas,Tampico,Ultrapasteurizada,Autoservicios,27.25
2025-08-13,Tlaxcala,Tlaxcala,Ultrapasteurizada,Autoservicios,35.38
2025-08-13,Veracruz,Coatzacoalcos,Ultrapasteurizada,Autoservicios,34.63
2025-08-13,Veracruz,Xalapa,Ultrapasteurizada,Autoservicios,35.58
2025-08-13,Veracruz,Veracruz ,Ultrapasteurizada,Autoservicios,35.88
2025-08-13,Yucatán,Mérida,Ultrapasteurizada,Autoservicios,33.82
2025-08-13,Zacatecas,Zacatecas,Ultrapasteurizada,Autoservicios,34.07
2025-08-11,Aguascalientes ,Aguascalientes,Pasteurizada,Tiendas,27.4
2025-08-11,Baja California,Mexicali,Pasteurizada,Tiendas,29.3
2025-08-11,Baja California,Tijuana,Pasteurizada,Tiendas,
2025-08-11,Baja California Sur,La Paz,Pasteurizada,Tiendas,26.0
2025-08-11,Campeche,Campeche,Pasteurizada,Tiendas,
2025-08-11,Coahuila,Piedras Negras,Pasteurizada,Tiendas,25.0
2025-08-11,Coahuila,Saltillo,Pasteurizada,Tiendas,31.2
2025-08-11,Coahuila,Torreón,Pasteurizada,Tiendas,32.5
2025-08-11,Colima,Colima,Pasteurizada,Tiendas,25.5
2025-08-11,Chiapas,Tapachula,Pasteurizada,Tiendas,
2025-08-11,Chiapas,Tuxtla Gutiérrez,Pasteurizada,Tiendas,
2025-08-11,Chihuahua,Chihuahua,Pasteurizada,Tiendas,29.55
2025-08-11,Chihuahua,Cd.Juárez,Pasteurizada,Tiendas,29.6
2025-08-11,CDMX,Ciudad de México,Pasteurizada,Tiendas,27.25
2025-08-11,CDMX,ZM Ciudad de México,Pasteurizada,Tiendas,24.07
2025-08-11,Durango,Durango,Pasteurizada,Tiendas,29.25
2025-08-11,Durango,Gómez Palacio,Pasteurizada,Tiendas,31.45
2025-08-11,Guanajuato,León,Pasteurizada,Tiendas,23.69
2025-08-11,Guanajuato,Celaya,Pasteurizada,Tiendas,28.63
2025-08-11,Guerrero,Acapulco,Pasteurizada,Tiendas,29.17
2025-08-11,Guerrero,Chilpancingo,Pasteurizada,Tiendas,29.0
2025-08-11,Hidalgo,Pachuca,Pasteurizada,Tiendas,28.0
2025-08-11,Jalisco,Guadalajara,Pasteurizada,Tiendas,27.5
2025-08-11,Jalisco,ZM Guadalajara,Pasteurizada,Tiendas,27.5
2025-08-11,Edo. México,Toluca,Pasteurizada,Tiendas,26.96
2025-08-11,Michoacán,Morelia,Pasteurizada,Tiendas,28.2
2025-08-11,Morelos,Cuernavaca,Pasteurizada,Tiendas,28.83
2025-08-11,Nayarit,Tepic,Pasteurizada,Tiendas,26.02
2025-08-11,Nuevo León,Monterrey,Pasteurizada,Tiendas,29.75
2025-08-11,Nuevo León,ZM Monterrey,Pasteurizada,Tiendas,29.75
2025-08-11,Oaxaca,Oaxaca,Pasteurizada,Tiendas,29.67
2025-08-11,Puebla,Puebla,Pasteurizada,Tiendas,29.25
2025-08-11,Puebla,ZM Puebla,Pasteurizada,Tiendas,30.65
2025-08-11,Querétaro,Querétaro,Pasteurizada,Tiendas,29.54
2025-08-11,Quintana Roo,Cancún,Pasteurizada,Tiendas,
2025-08-11,Quintana Roo,Chetumal,Pasteurizada,Tiendas,
2025-08-11,San Luis Potosí,San Luis Potosí,Pasteurizada,Tiendas,26.44
2025-08-11,Sinaloa,Culiacán,Pasteurizada,Tiendas,31.39
2025-08-11,Sonora,Cd. Obregón,Pasteurizada,Tiendas,29.0
2025-08-11,Sonora,Hermosillo,Pasteurizada,Tiendas,28.6
2025-08-11,Sonora,Nogales,Pasteurizada,Tiendas,
2025-08-11,Sonora,San Luis Río Colorado,Pasteurizada,Tiendas,0.0
2025-08-11,Tabasco,Villahermosa,Pasteurizada,Tiendas,
2025-08-11,Tamaulipas,Cd. Victoria,Pasteurizada,Tiendas,29.67
2025-08-11,Tamaulipas,Matamoros,Pasteurizada,Tiendas,30.5
2025-08-11,Tamaulipas,Nuevo Laredo,Pasteurizada,Tiendas,28.13
2025-08-11,Tamaulipas,Reynosa,Pasteurizada,Tiendas,29.63
2025-08-11,Tamaulipas,Tampico,Pasteurizada,Tiendas,19.25
2025-08-11,Tlaxcala,Tlaxcala,Pasteurizada,Tiendas,29.0
2025-08-11,Veracruz,Coatzacoalcos,Pasteurizada,Tiendas,
2025-08-11,Veracruz,Xalapa,Pasteurizada,Tiendas,
2025-08-11,Veracruz,Veracruz ,Pasteurizada,Tiendas,
2025-08-11,Yucatán,Mérida,Pasteurizada,Tiendas,
2025-08-11,Zacatecas,Zacatecas,Pasteurizada,Tiendas,25.75
2025-08-11,Aguascalientes ,Aguascalientes,Pasteurizada,Autoservicios,28.17
2025-08-11,Baja California,Mexicali,Pasteurizada,Autoservicios,26.34
2025-08-11,Baja California,Tijuana,Pasteurizada,Autoservicios,
2025-08-11,Baja California Sur,La Paz,Pasteurizada,Autoservicios,28.27
2025-08-11,Campeche,Campeche,Pasteurizada,Autoservicios,
2025-08-11,Coahuila,Piedras Negras,Pasteurizada,Autoservicios,23.46
2025-08-11,Coahuila,Saltillo,Pasteurizada,Autoservicios,30.67
2025-08-11,Coahuila,Torreón,Pasteurizada,Autoservicios,32.4
2025-08-11,Colima,Colima,Pasteurizada,Autoservicios,28.38
2025-08-11,Chiapas,Tapachula,Pasteurizada,Autoservicios,
2025-08-11,Chiapas,Tuxtla Gutiérrez,Pasteurizada,Autoservicios,
2025-08-11,Chihuahua,Chihuahua,Pasteurizada,Autoservicios,29.95
2025-08-11,Chihuahua,Cd.Juárez,Pasteurizada,Autoservicios,28.08
2025-08-11,CDMX,Ciudad de México,Pasteurizada,Autoservicios,32.83
2025-08-11,CDMX,ZM Ciudad de México,Pasteurizada,Autoservicios,23.7
2025-08-11,Durango,Durango,Pasteurizada,Autoservicios,28.05
2025-08-11,Durango,Gómez Palacio,Pasteurizada,Autoservicios,30.53
2025-08-11,Guanajuato,León,Pasteurizada,Autoservicios,23.75
2025-08-11,Guanajuato,Celaya,Pasteurizada,Autoservicios,25.33
2025-08-11,Guerrero,Acapulco,Pasteurizada,Autoservicios,28.73
2025-08-11,Guerrero,Chilpancingo,Pasteurizada,Autoservicios,29.47
2025-08-11,Hidalgo,Pachuca,Pasteurizada,Autoservicios,29.45
2025-08-11,Jalisco,Guadalajara,Pasteurizada,Autoservicios,27.0
2025-08-11,Jalisco,ZM Guadalajara,Pasteurizada,Autoservicios,28.9
2025-08-11,Edo. México,Toluca,Pasteurizada,Autoservicios,31.3
2025-08-11,Michoacán,Morelia,Pasteurizada,Autoservicios,28.55
2025-08-11,Morelos,Cuernavaca,Pasteurizada,Autoservicios,29.08
2025-08-11,Nayarit,Tepic,Pasteurizada,Autoservicios,28.49
2025-08-11,Nuevo León,Monterrey,Pasteurizada,Autoservicios,27.9
2025-08-11,Nuevo León,ZM Monterrey,Pasteurizada,Autoservicios,26.3
2025-08-11,Oaxaca,Oaxaca,Pasteurizada,Autoservicios,34.73
2025-08-11,Puebla,Puebla,Pasteurizada,Autoservicios,30.52
2025-08-11,Puebla,ZM Puebla,Pasteurizada,Autoservicios,29.67
2025-08-11,Querétaro,Querétaro,Pasteurizada,Autoservicios,29.89
2025-08-11,Quintana Roo,Cancún,Pasteurizada,Autoservicios,
2025-08-11,Quintana Roo,Chetumal,Pasteurizada,Autoservicios,
2025-08-11,San Luis Potosí,San Luis Potosí,Pasteurizada,Autoservicios,27.4
2025-08-11,Sinaloa,Culiacán,Pasteurizada,Autoservicios,26.98
2025-08-11,Sonora,Cd. Obregón,Pasteurizada,Autoservicios,28.83
2025-08-11,Sonora,Hermosillo,Pasteurizada,Autoservicios,26.88
2025-08-11,Sonora,Nogales,Pasteurizada,Autoservicios,
2025-08-11,Sonora,San Luis Río Colorado,Pasteurizada,Autoservicios,0.0
2025-08-11,Tabasco,Villahermosa,Pasteurizada,Autoservicios,
2025-08-11,Tamaulipas,Cd. Victoria,Pasteurizada,Autoservicios,27.76
2025-08-11,Tamaulipas,Matamoros,Pasteurizada,Autoservicios,29.32
2025-08-11,Tamaulipas,Nuevo Laredo,Pasteurizada,Autoservicios,27.03
2025-08-11,Tamaulipas,Reynosa,Pasteurizada,Autoservicios,28.83
2025-08-11,Tamaulipas,Tampico,Pasteurizada,Autoservicios,19.0
2025-08-11,Tlaxcala,Tlaxcala,Pasteurizada,Autoservicios,27.5
2025-08-11,Veracruz,Coatzacoalcos,Pasteurizada,Autoservicios,
2025-08-11,Veracruz,Xalapa,Pasteurizada,Autoservicios,
2025-08-11,Veracruz,Veracruz ,Pasteurizada,Autoservicios,
2025-08-11,Yucatán,Mérida,Pasteurizada,Autoservicios,
2025-08-11,Zacatecas,Zacatecas,Pasteurizada,Autoservicios,26.3
2025-08-11,Aguascalientes ,Aguascalientes,Ultrapasteurizada,Tiendas,30.9
2025-08-11,Baja California,Mexicali,Ultrapasteurizada,Tiendas,24.83
2025-08-11,Baja California,Tijuana,Ultrapasteurizada,Tiendas,31.82
2025-08-11,Baja California Sur,La Paz,Ultrapasteurizada,Tiendas,31.0
2025-08-11,Campeche,Campeche,Ultrapasteurizada,Tiendas,31.75
2025-08-11,Coahuila,Piedras Negras,Ultrapasteurizada,Tiendas,31.45
2025-08-11,Coahuila,Saltillo,Ultrapasteurizada,Tiendas,29.88
2025-08-11,Coahuila,Torreón,Ultrapasteurizada,Tiendas,38.0
2025-08-11,Colima,Colima,Ultrapasteurizada,Tiendas,26.5
2025-08-11,Chiapas,Tapachula,Ultrapasteurizada,Tiendas,30.8
2025-08-11,Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Tiendas,28.5
2025-08-11,Chihuahua,Chihuahua,Ultrapasteurizada,Tiendas,36.1
2025-08-11,Chihuahua,Cd.Juárez,Ultrapasteurizada,Tiendas,
2025-08-11,CDMX,Ciudad de México,Ultrapasteurizada,Tiendas,28.05
2025-08-11,CDMX,ZM Ciudad de México,Ultrapasteurizada,Tiendas,25.65
2025-08-11,Durango,Durango,Ultrapasteurizada,Tiendas,
2025-08-11,Durango,Gómez Palacio,Ultrapasteurizada,Tiendas,38.95
2025-08-11,Guanajuato,León,Ultrapasteurizada,Tiendas,23.56
2025-08-11,Guanajuato,Celaya,Ultrapasteurizada,Tiendas,28.75
2025-08-11,Guerrero,Acapulco,Ultrapasteurizada,Tiendas,32.46
2025-08-11,Guerrero,Chilpancingo,Ultrapasteurizada,Tiendas,30.17
2025-08-11,Hidalgo,Pachuca,Ultrapasteurizada,Tiendas,28.0
2025-08-11,Jalisco,Guadalajara,Ultrapasteurizada,Tiendas,33.0
2025-08-11,Jalisco,ZM Guadalajara,Ultrapasteurizada,Tiendas,32.64
2025-08-11,Edo. México,Toluca,Ultrapasteurizada,Tiendas,29.6
2025-08-11,Michoacán,Morelia,Ultrapasteurizada,Tiendas,28.75
2025-08-11,Morelos,Cuernavaca,Ultrapasteurizada,Tiendas,29.0
2025-08-11,Nayarit,Tepic,Ultrapasteurizada,Tiendas,27.29
2025-08-11,Nuevo León,Monterrey,Ultrapasteurizada,Tiendas,40.0
2025-08-11,Nuevo León,ZM Monterrey,Ultrapasteurizada,Tiendas,37.38
2025-08-11,Oaxaca,Oaxaca,Ultrapasteurizada,Tiendas,30.3
2025-08-11,Puebla,Puebla,Ultrapasteurizada,Tiendas,34.0
2025-08-11,Puebla,ZM Puebla,Ultrapasteurizada,Tiendas,29.5
2025-08-11,Querétaro,Querétaro,Ultrapasteurizada,Tiendas,29.86
2025-08-11,Quintana Roo,Cancún,Ultrapasteurizada,Tiendas,33.13
2025-08-11,Quintana Roo,Chetumal,Ultrapasteurizada,Tiendas,28.0
2025-08-11,San Luis Potosí,San Luis Potosí,Ultrapasteurizada,Tiendas,27.25
2025-08-11,Sinaloa,Culiacán,Ultrapasteurizada,Tiendas,36.67
2025-08-11,Sonora,Cd. Obregón,Ultrapasteurizada,Tiendas,32.7
2025-08-11,Sonora,Hermosillo,Ultrapasteurizada,Tiendas,24.54
2025-08-11,Sonora,Nogales,Ultrapasteurizada,Tiendas,29.95
2025-08-11,Sonora,San Luis Río Colorado,Ultrapasteurizada,Tiendas,0.0
2025-08-11,Tabasco,Villahermosa,Ultrapasteurizada,Tiendas,26.55
2025-08-11,Tamaulipas,Cd. Victoria,Ultrapasteurizada,Tiendas,32.67
2025-08-11,Tamaulipas,Matamoros,Ultrapasteurizada,Tiendas,38.0
2025-08-11,Tamaulipas,Nuevo Laredo,Ultrapasteurizada,Tiendas,32.5
2025-08-11,Tamaulipas,Reynosa,Ultrapasteurizada,Tiendas,
2025-08-11,Tamaulipas,Tampico,Ultrapasteurizada,Tiendas,23.0
2025-08-11,Tlaxcala,Tlaxcala,Ultrapasteurizada,Tiendas,36.0
2025-08-11,Veracruz,Coatzacoalcos,Ultrapasteurizada,Tiendas,28.8
2025-08-11,Veracruz,Xalapa,Ultrapasteurizada,Tiendas,35.17
2025-08-11,Veracruz,Veracruz ,Ultrapasteurizada,Tiendas,34.0
2025-08-11,Yucatán,Mérida,Ultrapasteurizada,Tiendas,29.6
2025-08-11,Zacatecas,Zacatecas,Ultrapasteurizada,Tiendas,33.5
2025-08-11,Aguascalientes ,Aguascalientes,Ultrapasteurizada,Autoservicios,34.17
2025-08-11,Baja California,Mexicali,Ultrapasteurizada,Autoservicios,27.47
2025-08-11,Baja California,Tijuana,Ultrapasteurizada,Autoservicios,32.2
2025-08-11,Baja California Sur,La Paz,Ultrapasteurizada,Autoservicios,29.87
2025-08-11,Campeche,Campeche,Ultrapasteurizada,Autoservicios,34.97
2025-08-11,Coahuila,Piedras Negras,Ultrapasteurizada,Autoservicios,26.35
2025-08-11,Coahuila,Saltillo,Ultrapasteurizada,Autoservicios,36.73
2025-08-11,Coahuila,Torreón,Ultrapasteurizada,Autoservicios,34.83
2025-08-11,Colima,Colima,Ultrapasteurizada,Autoservicios,35.75
2025-08-11,Chiapas,Tapachula,Ultrapasteurizada,Autoservicios,35.9
2025-08-11,Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Autoservicios,27.5
2025-08-11,Chihuahua,Chihuahua,Ultrapasteurizada,Autoservicios,37.27
2025-08-11,Chihuahua,Cd.Juárez,Ultrapasteurizada,Autoservicios,33.57
2025-08-11,CDMX,Ciudad de México,Ultrapasteurizada,Autoservicios,34.75
2025-08-11,CDMX,ZM Ciudad de México,Ultrapasteurizada,Autoservicios,24.0
2025-08-11,Durango,Durango,Ultrapasteurizada,Autoservicios,35.77
2025-08-11,Durango,Gómez Palacio,Ultrapasteurizada,Autoservicios,37.27
2025-08-11,Guanajuato,León,Ultrapasteurizada,Autoservicios,23.75
2025-08-11,Guanajuato,Celaya,Ultrapasteurizada,Autoservicios,29.83
2025-08-11,Guerrero,Acapulco,Ultrapasteurizada,Autoservicios,34.98
2025-08-11,Guerrero,Chilpancingo,Ultrapasteurizada,Autoservicios,33.13
2025-08-11,Hidalgo,Pachuca,Ultrapasteurizada,Autoservicios,35.12
2025-08-11,Jalisco,Guadalajara,Ultrapasteurizada,Autoservicios,30.0
2025-08-11,Jalisco,ZM Guadalajara,Ultrapasteurizada,Autoservicios,37.9
2025-08-11,Edo. México,Toluca,Ultrapasteurizada,Autoservicios,33.83
2025-08-11,Michoacán,Morelia,Ultrapasteurizada,Autoservicios,33.97
2025-08-11,Morelos,Cuernavaca,Ultrapasteurizada,Autoservicios,33.42
2025-08-11,Nayarit,Tepic,Ultrapasteurizada,Autoservicios,29.35
2025-08-11,Nuevo León,Monterrey,Ultrapasteurizada,Autoservicios,34.77
2025-08-11,Nuevo León,ZM Monterrey,Ultrapasteurizada,Autoservicios,36.13
2025-08-11,Oaxaca,Oaxaca,Ultrapasteurizada,Autoservicios,35.32
2025-08-11,Puebla,Puebla,Ultrapasteurizada,Autoservicios,33.42
2025-08-11,Puebla,ZM Puebla,Ultrapasteurizada,Autoservicios,34.25
2025-08-11,Querétaro,Querétaro,Ultrapasteurizada,Autoservicios,30.07
2025-08-11,Quintana Roo,Cancún,Ultrapasteurizada,Autoservicios,32.05
2025-08-11,Quintana Roo,Chetumal,Ultrapasteurizada,Autoservicios,34.33
2025-08-11,San Luis Potosí,San Luis Potosí,Ultrapasteurizada,Autoservicios,32.67
2025-08-11,Sinaloa,Culiacán,Ultrapasteurizada,Autoservicios,32.32
2025-08-11,Sonora,Cd. Obregón,Ultrapasteurizada,Autoservicios,30.58
2025-08-11,Sonora,Hermosillo,Ultrapasteurizada,Autoservicios,24.57
2025-08-11,Sonora,Nogales,Ultrapasteurizada,Autoservicios,30.65
2025-08-11,Sonora,San Luis Río Colorado,Ultrapasteurizada,Autoservicios,0.0
2025-08-11,Tabasco,Villahermosa,Ultrapasteurizada,Autoservicios,29.13
2025-08-11,Tamaulipas,Cd. Victoria,Ultrapasteurizada,Autoservicios,33.75
2025-08-11,Tamaulipas,Matamoros,Ultrapasteurizada,Autoservicios,35.42
2025-08-11,Tamaulipas,Nuevo Laredo,Ultrapasteurizada,Autoservicios,33.13
2025-08-11,Tamaulipas,Reynosa,Ultrapasteurizada,Autoservicios,27.81
2025-08-11,Tamaulipas,Tampico,Ultrapasteurizada,Autoservicios,27.1
2025-08-11,Tlaxcala,Tlaxcala,Ultrapasteurizada,Autoservicios,35.38
2025-08-11,Veracruz,Coatzacoalcos,Ultrapasteurizada,Autoservicios,33.72
2025-08-11,Veracruz,Xalapa,Ultrapasteurizada,Autoservicios,35.58
2025-08-11,Veracruz,Veracruz ,Ultrapasteurizada,Autoservicios,36.1
2025-08-11,Yucatán,Mérida,Ultrapasteurizada,Autoservicios,33.8
2025-08-11,Zacatecas,Zacatecas,Ultrapasteurizada,Autoservicios,34.07
2025-08-08,Aguascalientes ,Aguascalientes,Pasteurizada,Tiendas,27.4
2025-08-08,Baja California,Mexicali,Pasteurizada,Tiendas,29.3
2025-08-08,Baja California,Tijuana,Pasteurizada,Tiendas,
2025-08-08,Baja California Sur,La Paz,Pasteurizada,Tiendas,26.0
2025-08-08,Campeche,Campeche,Pasteurizada,Tiendas,
2025-08-08,Coahuila,Piedras Negras,Pasteurizada,Tiendas,24.7
2025-08-08,Coahuila,Saltillo,Pasteurizada,Tiendas,31.2
2025-08-08,Coahuila,Torreón,Pasteurizada,Tiendas,32.5
2025-08-08,Colima,Colima,Pasteurizada,Tiendas,25.5
2025-08-08,Chiapas,Tapachula,Pasteurizada,Tiendas,
2025-08-08,Chiapas,Tuxtla Gutiérrez,Pasteurizada,Tiendas,
2025-08-08,Chihuahua,Chihuahua,Pasteurizada,Tiendas,29.55
2025-08-08,Chihuahua,Cd.Juárez,Pasteurizada,Tiendas,29.6
2025-08-08,CDMX,Ciudad de México,Pasteurizada,Tiendas,27.25
2025-08-08,CDMX,ZM Ciudad de México,Pasteurizada,Tiendas,24.07
2025-08-08,Durango,Durango,Pasteurizada,Tiendas,29.25
2025-08-08,Durango,Gómez Palacio,Pasteurizada,Tiendas,31.45
2025-08-08,Guanajuato,León,Pasteurizada,Tiendas,23.69
2025-08-08,Guanajuato,Celaya,Pasteurizada,Tiendas,28.63
2025-08-08,Guerrero,Acapulco,Pasteurizada,Tiendas,29.17
2025-08-08,Guerrero,Chilpancingo,Pasteurizada,Tiendas,29.0
2025-08-08,Hidalgo,Pachuca,Pasteurizada,Tiendas,28.0
2025-08-08,Jalisco,Guadalajara,Pasteurizada,Tiendas,27.5
2025-08-08,Jalisco,ZM Guadalajara,Pasteurizada,Tiendas,27.5
2025-08-08,Edo. México,Toluca,Pasteurizada,Tiendas,26.9
2025-08-08,Michoacán,Morelia,Pasteurizada,Tiendas,28.2
2025-08-08,Morelos,Cuernavaca,Pasteurizada,Tiendas,29.33
2025-08-08,Nayarit,Tepic,Pasteurizada,Tiendas,26.02
2025-08-08,Nuevo León,Monterrey,Pasteurizada,Tiendas,29.75
2025-08-08,Nuevo León,ZM Monterrey,Pasteurizada,Tiendas,29.75
2025-08-08,Oaxaca,Oaxaca,Pasteurizada,Tiendas,30.13
2025-08-08,Puebla,Puebla,Pasteurizada,Tiendas,29.25
2025-08-08,Puebla,ZM Puebla,Pasteurizada,Tiendas,30.65
2025-08-08,Querétaro,Querétaro,Pasteurizada,Tiendas,29.55
2025-08-08,Quintana Roo,Cancún,Pasteurizada,Tiendas,
2025-08-08,Quintana Roo,Chetumal,Pasteurizada,Tiendas,
2025-08-08,San Luis Potosí,San Luis Potosí,Pasteurizada,Tiendas,26.44
2025-08-08,Sinaloa,Culiacán,Pasteurizada,Tiendas,31.39
2025-08-08,Sonora,Cd. Obregón,Pasteurizada,Tiendas,29.0
2025-08-08,Sonora,Hermosillo,Pasteurizada,Tiendas,28.6
2025-08-08,Sonora,Nogales,Pasteurizada,Tiendas,
2025-08-08,Sonora,San Luis Río Colorado,Pasteurizada,Tiendas,0.0
2025-08-08,Tabasco,Villahermosa,Pasteurizada,Tiendas,
2025-08-08,Tamaulipas,Cd. Victoria,Pasteurizada,Tiendas,29.67
2025-08-08,Tamaulipas,Matamoros,Pasteurizada,Tiendas,30.5
2025-08-08,Tamaulipas,Nuevo Laredo,Pasteurizada,Tiendas,28.13
2025-08-08,Tamaulipas,Reynosa,Pasteurizada,Tiendas,29.63
2025-08-08,Tamaulipas,Tampico,Pasteurizada,Tiendas,19.1
2025-08-08,Tlaxcala,Tlaxcala,Pasteurizada,Tiendas,29.0
2025-08-08,Veracruz,Coatzacoalcos,Pasteurizada,Tiendas,
2025-08-08,Veracruz,Xalapa,Pasteurizada,Tiendas,
2025-08-08,Veracruz,Veracruz ,Pasteurizada,Tiendas,
2025-08-08,Yucatán,Mérida,Pasteurizada,Tiendas,
2025-08-08,Zacatecas,Zacatecas,Pasteurizada,Tiendas,25.75
